"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","IMMIGINFLOW","WORK","NBR","A","2015",6670,
"PRT","IMMIGINFLOW","WORK","NBR","A","2016",5574,
"PRT","IMMIGINFLOW","WORK","NBR","A","2017",7583,
"PRT","IMMIGINFLOW","WORK","NBR","A","2018",19976,
"PRT","IMMIGINFLOW","WORK","NBR","A","2019",34607,
"ESP","IMMIGINFLOW","FAM","NBR","A","2007",117935.507,
"ESP","IMMIGINFLOW","FAM","NBR","A","2008",95561.6,
"ESP","IMMIGINFLOW","FAM","NBR","A","2009",82549,
"ESP","IMMIGINFLOW","FAM","NBR","A","2010",56037.256,
"ESP","IMMIGINFLOW","FAM","NBR","A","2011",58784.393,
"ESP","IMMIGINFLOW","FAM","NBR","A","2012",39847.22,
"ESP","IMMIGINFLOW","FAM","NBR","A","2013",95844,
"ESP","IMMIGINFLOW","FAM","NBR","A","2014",90994,
"ESP","IMMIGINFLOW","FAM","NBR","A","2015",92739,
"ESP","IMMIGINFLOW","FAM","NBR","A","2016",105805,
"ESP","IMMIGINFLOW","FAM","NBR","A","2017",116739,
"ESP","IMMIGINFLOW","FAM","NBR","A","2018",125147,
"ESP","IMMIGINFLOW","FAM","NBR","A","2019",132520,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2000",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2001",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2002",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2003",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2004",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2005",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2007",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2008",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2009",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2010",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2011",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2012",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2013",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2014",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2015",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2016",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2018",0,
"ESP","IMMIGINFLOW","FAMWORKR","NBR","A","2019",0,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2006",133183.296,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2007",342953.331,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2008",170355.379,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2009",126034.104,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2010",130179.571,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2011",131109.565,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2012",102573.545,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2013",90421,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2014",99968,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2015",106174,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2016",116314,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2017",139415,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2018",145298,
"ESP","IMMIGINFLOW","FREEMOVS","NBR","A","2019",151762,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2007",544,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2008",277,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2009",341,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2010",595,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2011",967,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2012",520,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2013",528,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2014",1583,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2015",1020,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2016",6855,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2017",4095,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2018",4818,
"ESP","IMMIGINFLOW","HUMNTRN","NBR","A","2019",3180,
"ESP","IMMIGINFLOW","OTH","NBR","A","2007",3615,
"ESP","IMMIGINFLOW","OTH","NBR","A","2008",4255,
"ESP","IMMIGINFLOW","OTH","NBR","A","2009",4075,
"ESP","IMMIGINFLOW","OTH","NBR","A","2010",3735,
"ESP","IMMIGINFLOW","OTH","NBR","A","2011",6479,
"ESP","IMMIGINFLOW","OTH","NBR","A","2012",5922,
"ESP","IMMIGINFLOW","OTH","NBR","A","2013",34199,
"ESP","IMMIGINFLOW","OTH","NBR","A","2014",28073,
"ESP","IMMIGINFLOW","OTH","NBR","A","2015",27130,
"ESP","IMMIGINFLOW","OTH","NBR","A","2016",22727,
"ESP","IMMIGINFLOW","OTH","NBR","A","2017",21578,
"ESP","IMMIGINFLOW","OTH","NBR","A","2018",25174,
"ESP","IMMIGINFLOW","OTH","NBR","A","2019",27805,
"ESP","IMMIGINFLOW","WORK","NBR","A","2007",180569.657,
"ESP","IMMIGINFLOW","WORK","NBR","A","2008",116209.718,
"ESP","IMMIGINFLOW","WORK","NBR","A","2009",102267,
"ESP","IMMIGINFLOW","WORK","NBR","A","2010",89811,
"ESP","IMMIGINFLOW","WORK","NBR","A","2011",67632,
"ESP","IMMIGINFLOW","WORK","NBR","A","2012",71206,
"ESP","IMMIGINFLOW","WORK","NBR","A","2013",50994,
"ESP","IMMIGINFLOW","WORK","NBR","A","2014",42365,
"ESP","IMMIGINFLOW","WORK","NBR","A","2015",37559,
"ESP","IMMIGINFLOW","WORK","NBR","A","2016",35737,
"ESP","IMMIGINFLOW","WORK","NBR","A","2017",30567,
"ESP","IMMIGINFLOW","WORK","NBR","A","2018",29785,
"ESP","IMMIGINFLOW","WORK","NBR","A","2019",34527,
