labels,Country Name,Net Migration,PIB per Capita,Total Unemployment (%),human_development_index,Fecha_Numerico,country_code_c
2,Francia,14729.0,2472964344587.17,10.0500001907349,0.895,735964,65
2,Francia,14391.0,2790956878746.66,9.02000045776367,0.901,736695,65
2,Francia,13175.0,2595151045197.65,9.40999984741211,0.898,736330,65
2,España,774489.0,1474002579820.0,8.22999954223633,0.858,732677,60
2,España,741349.0,708756677088.629,11.1499996185303,0.834,730851,60
2,España,662840.0,907491523174.116,11.2799997329712,0.837,731216,60
2,España,661105.0,1069055675273.75,11.0900001525879,0.844,731581,60
2,España,632974.0,1153715822717.51,9.14999961853027,0.85,731947,60
2,Italia,195257.0,2294994296589.5,8.35999965667725,0.885,734138,96
2,España,458942.0,1394320055129.41,14.1000003814697,0.908,737060,60
2,España,430778.0,1631863493552.34,11.25,0.86,733042,60
2,España,339064.0,1421702715218.04,15.25,0.901,736695,60
2,España,208791.0,1276962685648.25,15.5299997329712,0.899,737425,60
2,España,185594.0,627830029412.205,10.3500003814697,0.83,730486,60
2,España,175213.0,598363313494.903,13.789999961853,0.825,730120,60
2,España,167475.0,1313245330197.65,17.2199993133545,0.897,736330,60
2,España,130589.0,1491472923706.64,17.8600006103516,0.861,733408,60
2,España,89021.0,1233554967011.68,19.6299991607666,0.895,735964,60
2,España,62782.0,1422108199783.34,19.8600006103516,0.868,733773,60
2,Francia,26585.0,2855964488590.19,10.289999961853,0.892,735234,65
2,Francia,36552.0,2811876903329.03,9.92000007629395,0.887,734869,65
2,Francia,49080.0,2683671716967.19,9.39999961853027,0.882,734503,65
2,Francia,65188.0,2865157541994.17,8.8100004196167,0.881,734138,65
2,Italia,154366.0,2141924094298.56,12.1499996185303,0.882,734869,96
2,Italia,75863.0,2091932426266.98,10.6099996566772,0.893,736695,96
2,Italia,70475.0,1961796197354.36,11.210000038147,0.888,736330,96
2,Italia,50102.0,2162009615996.54,12.6800003051758,0.883,735234,96
2,Italia,49591.0,1877071687633.78,11.6899995803833,0.887,735964,96
2,Italia,49166.0,1146676894209.73,10.8400001525879,0.841,730120,96
2,Italia,47084.0,1168023426056.38,9.60000038146973,0.849,730486,96
2,Italia,34031.0,1836637711060.55,11.8999996185303,0.882,735599,96
2,Italia,28021.0,1896755301518.14,9.15999984741211,0.889,737425,96
2,Italia,21615.0,2011302198827.45,9.94999980926514,0.897,737060,96
2,Francia,155943.0,2196945232435.8,8.48999977111816,0.866,731947,65
2,Francia,154947.0,2119633181634.37,8.90999984741211,0.858,731581,65
2,Francia,151814.0,2320536221304.7,8.44999980926514,0.87,732312,65
2,Francia,148696.0,1844544792036.86,8.3100004196167,0.851,731216,65
2,Francia,142170.0,2660591246211.77,7.65999984741211,0.873,732677,65
2,Francia,137513.0,1501409382971.38,8.69999980926514,0.848,730851,65
2,Francia,128627.0,2930303780828.12,7.05999994277954,0.873,733042,65
2,Francia,122247.0,1377657339291.34,8.60999965667725,0.847,730486,65
2,Francia,108940.0,2700887366932.03,8.73999977111816,0.872,733408,65
2,Francia,102857.0,1365639660792.16,10.2200002670288,0.844,730120,65
2,Francia,86355.0,2645187882116.67,8.86999988555908,0.877,733773,65
3,Estados Unidos,1168499.0,10929112955000.0,5.78000020980835,0.893,730851,204
3,Estados Unidos,1449371.0,18695110842000.0,4.86999988555908,0.922,735964,204
3,Estados Unidos,1377630.0,19477336549000.0,4.3600001335144,0.924,736330,204
3,Estados Unidos,1335725.0,10581929774000.0,4.73000001907349,0.892,730486,204
3,Estados Unidos,1323368.0,16253972230000.0,8.06999969482422,0.916,734503,204
3,Estados Unidos,1322433.0,15599728123000.0,8.94999980926514,0.913,734138,204
3,Estados Unidos,1320840.0,16843190993000.0,7.36999988555908,0.917,734869,204
3,Estados Unidos,1250914.0,17550680174000.0,6.17000007629395,0.919,735234,204
3,Estados Unidos,1221849.0,18206020741000.0,5.28000020980835,0.92,735599,204
3,Estados Unidos,1200796.0,20533057312000.0,3.90000009536743,0.927,736695,204
3,Estados Unidos,1200409.0,12217193198000.0,5.53000020980835,0.898,731581,204
3,Estados Unidos,1158444.0,21380976119000.0,3.67000007629395,0.93,737060,204
3,Estados Unidos,1129462.0,13039199193000.0,5.07999992370605,0.9,731947,204
3,Estados Unidos,1113259.0,13815586948000.0,4.61999988555908,0.904,732312,204
3,Estados Unidos,1108509.0,14474226905000.0,4.61999988555908,0.906,732677,204
3,Estados Unidos,1095864.0,14769857911000.0,5.78000020980835,0.906,733042,204
3,Estados Unidos,1074728.0,11456442041000.0,5.98999977111816,0.895,731216,204
3,Estados Unidos,1031010.0,14478064934000.0,9.25,0.908,733408,204
3,Estados Unidos,1030731.0,15048964444000.0,9.63000011444092,0.911,733773,204
3,Estados Unidos,675560.0,21060473613000.0,8.05000019073486,0.92,737425,204
3,Estados Unidos,1479676.0,10250947997000.0,3.99000000953674,0.891,730120,204
